NO,UPT,X,GARDU INDUK,JADWAL RENCANA,REALISASI,STATUS,JENIS ANOMALI,Status FIX,,,,
1,UPT BANDUNG,UPT BANDUNG,GI 150KV BANDUNG UTARA,9/30/2026,7/2/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
2,UPT BANDUNG,UPT BANDUNG,GI 150KV CIANJUR,,7/30/2025,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
3,UPT BANDUNG,UPT BANDUNG,GI 150KV CIGERELENG,9/30/2026,6/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
4,UPT BANDUNG,UPT BANDUNG,GI 150KV NEW RANCAKASUMBA,9/30/2026,6/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
5,UPT BANDUNG,UPT BANDUNG,GI 150KV PADALARANG BARU,9/30/2026,6/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
6,UPT BANDUNG,UPT BANDUNG,GI 150KV RAJAMANDALA,9/30/2026,6/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
7,UPT BANDUNG,UPT BANDUNG,GI 150KV SUKALUYU,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
8,UPT BANDUNG,UPT BANDUNG,GI 150KV UJUNGBERUNG,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
9,UPT BANDUNG,UPT BANDUNG,GI 150KV WAYANG WINDU,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
10,UPT BANDUNG,UPT BANDUNG,GIS 150kV DAYEUHKOLOT,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
11,UPT BANDUNG,UPT BANDUNG,GIS 150KV KIARACONDONG,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
12,UPT BANDUNG,UPT BANDUNG,GITET 500KV BANDUNG SELATAN,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
13,UPT BANDUNG,UPT BANDUNG,GITET 500KV NEW UJUNGBERUNG,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
14,UPT BEKASI,UPT BEKASI,GI 150KV CIBATU,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
15,UPT BEKASI,UPT BEKASI,GI 150KV HANKOOK,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
16,UPT BEKASI,UPT BEKASI,GI 150KV JABABEKA,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
17,UPT BEKASI,UPT BEKASI,GI 150KV MARGAKARYA,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,76
18,UPT BEKASI,UPT BEKASI,GI 150KV MEKARSARI,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
19,UPT BEKASI,UPT BEKASI,GI 150KV PINAYUNGAN,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
20,UPT BEKASI,UPT BEKASI,GI 150KV PONCOL BARU,,6/26/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
21,UPT BEKASI,UPT BEKASI,GI 150KV SUKAMAHI,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
22,UPT BEKASI,UPT BEKASI,GI 150KV TAMBUN,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
23,UPT BEKASI,UPT BEKASI,GIS 150KV NEW TAMBUN,,3/13/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
24,UPT BEKASI,UPT BEKASI,GISTET 500KV NEW TAMBUN,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
25,UPT BEKASI,UPT BEKASI,GITET 500KV CIBATU,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
26,UPT BEKASI,UPT BEKASI,GITET 500KV MUARATAWAR,9/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
27,UPT BOGOR,UPT BOGOR,GI 150KV BOGOR BARU,7/31/2026,7/6/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
28,UPT BOGOR,UPT BOGOR,GI 150KV SENTUL,7/31/2026,6/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
29,UPT BOGOR,UPT BOGOR,GITET 500KV CIBINONG,7/31/2026,7/6/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
30,UPT CIREBON,UPT CIREBON,GI 150KV CIAMIS,,2/16/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
31,UPT CIREBON,UPT CIREBON,GI 150KV PLTU INDRAMAYU,,7/16/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
32,UPT CIREBON,UPT CIREBON,GI 150KV TASIKMALAYA,,2/12/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
33,UPT CIREBON,UPT CIREBON,GI 150KV TASIKMALAYA BARU,,2/12/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
34,UPT CIREBON,UPT CIREBON,GITET 500KV MANDIRANCAN,,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
35,UPT CIREBON,UPT CIREBON,GITET 500KV TASIKMALAYA,,3/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
36,UPT KARAWANG,UPT KARAWANG,GI 150KV CIKUMPAY,8/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
37,UPT KARAWANG,UPT KARAWANG,GI 150kV CIRATA BARU,8/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
38,UPT KARAWANG,UPT KARAWANG,GI 150KV PARUNGMULYA,8/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
39,UPT KARAWANG,UPT KARAWANG,GI 150KV PERURI,8/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
40,UPT KARAWANG,UPT KARAWANG,GI 150kV PURWAKARTA,8/30/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
41,UPT KARAWANG,UPT KARAWANG,GI 150KV SUKAMANDI,1/1/2026,1/1/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
42,UPT KARAWANG,UPT KARAWANG,GITET 500KV CIRATA,7/18/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
43,UPT KARAWANG,UPT KARAWANG,GITET 500KV DELTAMAS,7/18/2026,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
44,UPT PURWOKERTO,UPT PURWOKERTO,GITET 500KV CILACAP,,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
45,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV PLTU CILACAP,,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
46,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV BATANG,,3/17/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
47,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV BATANG NEW,,3/17/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
48,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV BREBES,,3/19/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
49,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV KALIBAKAL,,1/31/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
50,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV KEBASEN,,3/17/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
51,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV PEKALONGAN,,3/16/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
52,UPT PURWOKERTO,UPT PURWOKERTO,GI 150KV RAWALO,,4/7/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
53,UPT PURWOKERTO,UPT PURWOKERTO,GISTET 500KV ADIPALA,,4/8/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
54,UPT PURWOKERTO,UPT PURWOKERTO,GITET 500KV KESUGIHAN,,1/31/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
55,UPT PURWOKERTO,UPT PURWOKERTO,GITET 500KV PEMALANG,,3/17/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
56,UPT SALATIGA,UPT SALATIGA,GI 150KV BANTUL,,3/3/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
57,UPT SALATIGA,UPT SALATIGA,GI 150KV BAWEN,,4/3/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
58,UPT SALATIGA,UPT SALATIGA,GI 150KV BOYOLALI,,4/3/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
59,UPT SALATIGA,UPT SALATIGA,GI 150KV GODEAN,,6/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
60,UPT SALATIGA,UPT SALATIGA,GI 150KV GONDANGREJO,,2/28/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
61,UPT SALATIGA,UPT SALATIGA,GI 150KV JAJAR,,2/5/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
62,UPT SALATIGA,UPT SALATIGA,GI 150KV KENTUNGAN,,4/2/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
63,UPT SALATIGA,UPT SALATIGA,GI 150KV KLATEN,,2/26/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
64,UPT SALATIGA,UPT SALATIGA,GI 150KV MASARAN,,1/28/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
65,UPT SALATIGA,UPT SALATIGA,GI 150KV MOJOSONGO,,3/12/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
66,UPT SALATIGA,UPT SALATIGA,GI 150KV PALUR,,2/5/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
67,UPT SALATIGA,UPT SALATIGA,GI 150KV PEDAN,,1/31/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
68,UPT SALATIGA,UPT SALATIGA,GI 150KV SANGGRAHAN,,2/28/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
69,UPT SALATIGA,UPT SALATIGA,GI 150KV SECANG,,4/3/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
70,UPT SALATIGA,UPT SALATIGA,GI 150KV SOLOBARU,,2/18/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
71,UPT SALATIGA,UPT SALATIGA,GI 150KV SRAGEN,,1/27/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
72,UPT SALATIGA,UPT SALATIGA,GI 150KV WONOSARI,,,Open,TS - Mitigasi gangguan akibat binatang ,Open,,,,
73,UPT SALATIGA,UPT SALATIGA,GITET 500KV BOYOLALI,,6/30/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
74,UPT SALATIGA,UPT SALATIGA,GITET 500KV PEDAN,,1/31/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
75,UPT SEMARANG,UPT SEMARANG,GI 150KV TANJUNG JATI,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
76,UPT SEMARANG,UPT SEMARANG,GI 150KV JEKULO,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
77,UPT SEMARANG,UPT SEMARANG,GI 150KV KUDUS,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
78,UPT SEMARANG,UPT SEMARANG,GI 150KV BLORA,5/22/2026,5/22/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
79,UPT SEMARANG,UPT SEMARANG,GI 150KV CEPU,5/22/2026,5/22/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
80,UPT SEMARANG,UPT SEMARANG,GI 150KV PATI,5/11/2026,5/11/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
