TECHIDENTNO,MTU,ULTG,UPT,GARDU INDUK,BAY,FASA,TEG,MERK,TIPE,TAHUN BUAT,"USIA
(TAHUN)",JUNE,MAY,APRIL,Parameter Pemicu (evaluasi),RENCANA TINDAK LANJUT POWER INSPECT,Target Penyelesain,AHI SETELAH EVALUASI,PENEMPATAN,HARTRANS,KOORDINAT,KATEGORI USIA,AHI TERBARU
11316129229200000001,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#1 150/20kV,RST,150,UNINDO,N-RANGE,2011,15,2 - Good,3 - Fair,2 - Good,,,,2 - Good,,HARTRANS 2,"-7.090513,109.088643",Normal,2 - Good
11351529229200000309,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#2 150/22kV,RST,150,XD SAKTI INDONESIA,SFZ-60000/150,2018,8,3 - Fair,3 - Fair,1 - Very good,,,,3 - Fair,,HARTRANS 2,"-7.090513,109.088643",Normal,3 - Fair
11351550250200000005,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#1 150/22kV,RST,150,ELSEWEDY ELECTRIC,8888,2024,2,2 - Good,2 - Good,2 - Good,Berdasarkan hasil uji DGA 23 jun 2026 terkonfirmasi baik. Trafo baru operasi 2025,-,,2 - Good,,HARTRANS 2,"-6.9352091,109.9568233",Normal,2 - Good
11351550250200000006,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#2 150/22kV,RST,150,XD SAKTI INDONESIA,SFZ-60000/150,2025,1,2 - Good,2 - Good,2 - Good,Berdasarkan hasil uji DGA 23 jun 2026 terkonfirmasi baik. Trafo baru operasi 2025,-,,2 - Good,,HARTRANS 2,"-6.9352091,109.9568233",Normal,2 - Good
11316127827800000004,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BATANG,TRF#2 150/20kV,RST,150,UNINDO,N-RANGE,2011,15,4 - Poor,2 - Good,2 - Good,Hasil uji pemeliharaan 9 juni 2026 nilai evaluasi kapasitansi belitan trafo critical karena dimasukan nilai 8888 di hasil uji FAT atau hasil uji sebelumnya. Tandel bushing 0.53 Fasa S pada pengujian tgl 09 Juni 2026 (Bushing Jenis OIP Merk Passonivilla),"1.Memastikan hasil uji sebelumnya untuk nilai kapasitansi apakah masih sesuai dengan hasil uji 09 Juni 2026
 2971.49        8598.48        11548.27        4856.39        149.37        5000.27        1378.73        15138.99        16511.06
Deviasi CHG 14.08%
2. Untuk bushing kondisi POOR segera di tindaklanjuti dengan pengujian DFR dan buat BA Validasi gradasi suhu warna Bushing
3. Trending hasil uji Minyak",30/08/2026,4 - Poor,,HARTRANS 2,"-6.934206,109.769204",Normal,4 - Poor
11316127827800000006,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BATANG,TRF#3 150/20kV,RST,150,UNINDO,MPT,2013,13,4 - Poor,4 - Poor,3 - Fair,"Berdasarkan hasil uji hartin 1 jan 2025 tahanan isolasi core yoke 3,55 mohm. kemungkinan salah input",validasi hasil uji hartin 2027,19/07/1905,4 - Poor,,HARTRANS 2,"-6.934206,109.769204",Normal,4 - Poor
11351527827800000071,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BATANG,TRF#1 150/22kV,RST,150,ABB,1ZKZ469152Z2624,2018,8,3 - Fair,4 - Poor,4 - Poor,,,,3 - Fair,,HARTRANS 2,"-6.934206,109.769204",Normal,3 - Fair
11351535935900000001,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BATANG NEW,TRF#1 150/22kV,RST,150,CG PAUWELS,ORF.60/275,2018,8,3 - Fair,3 - Fair,2 - Good,"Hasil Uji hartin 19 Agus 2025 IP Tahanan Isolasi T-G 1,29 - Fair",,,3 - Fair,,HARTRANS 2,"-6.936513,109.803811",Normal,3 - Fair
11351535935900000002,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BATANG NEW,TRF#2 150/22kV,RST,150,CG PAUWELS,ORF.60/275,2018,8,2 - Good,4 - Poor,1 - Very good,,,,2 - Good,,HARTRANS 2,"-6.936513,109.803811",Normal,2 - Good
11316127327300000003,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV BREBES,TRF#1 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2012,14,2 - Good,3 - Fair,3 - Fair,,,,2 - Good,,HARTRANS 2,"-6.8866,109.001381",Normal,2 - Good
