NO,NAMAUPT,GARDU INDUK,BAY_PENGHANTAR,MERK,TIPE,TGL_OPRS,THN_BUAT,USIA,FASA,MERK BUSHING,TYPE BUSHING,NO SERI,JENIS BUSHING ,LEVEL MINYAK,HASIL THERMOVISI,KONDISI FISIK,Nilai Tadel,HASIL UJI TANDEL,KONDISI CENTER TAP,KETERANGAN,
1,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#1 150/20kV,UNINDO,N-RANGE,2-Jan-2012,2011,14,R,PASSONIVILLA,PNO,140783,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,Menunggu jadwal padam untuk melihat nameplate bushing,
2,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#1 150/20kV,UNINDO,N-RANGE,2-Jan-2012,2011,14,S,PASSONIVILLA,PNO,140784,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
3,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#1 150/20kV,UNINDO,N-RANGE,2-Jan-2012,2011,14,T,PASSONIVILLA,PNO,140785,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
4,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,14-Jul-2021,2018,5,R,ABB,RTF 170-750 / 1250B,,RIP,,,,,,,,
5,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,14-Jul-2021,2018,5,S,ABB,RTF 170-750 / 1250B,,RIP,,,,,,,,
6,UPT PURWOKERTO,GI 150KV BALAPULANG,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,14-Jul-2021,2018,5,T,ABB,RTF 170-750 / 1250B,,RIP,,,,,,,,
7,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#1 150/22kV,ELSEWEDY ELECTRIC,8888,12-Mar-2025,2024,1,R,,,,RIP,,,,,,,,
8,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#1 150/22kV,ELSEWEDY ELECTRIC,8888,12-Mar-2025,2024,1,S,,,,RIP,,,,,,,,
9,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#1 150/22kV,ELSEWEDY ELECTRIC,8888,12-Mar-2025,2024,1,T,,,,RIP,,,,,,,,
10,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,12-Mar-2025,2025,1,R,,,,RIP,,,,,,,,
11,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,12-Mar-2025,2025,1,S,,,,RIP,,,,,,,,
12,UPT PURWOKERTO,GI 150KV BANYUPUTIH,TRF#2 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,12-Mar-2025,2025,1,T,,,,RIP,,,,,,,,
13,UPT PURWOKERTO,GI 150KV BATANG,TRF#2 150/20kV,UNINDO,N-RANGE,2-Sep-2012,2011,13,R,PASSONIVILLA,PNO,140792,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
14,UPT PURWOKERTO,GI 150KV BATANG,TRF#2 150/20kV,UNINDO,N-RANGE,2-Sep-2012,2011,13,S,PASSONIVILLA,PNO,140794,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
15,UPT PURWOKERTO,GI 150KV BATANG,TRF#2 150/20kV,UNINDO,N-RANGE,2-Sep-2012,2011,13,T,PASSONIVILLA,PNO,140782,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
16,UPT PURWOKERTO,GI 150KV BATANG,TRF#3 150/20kV,UNINDO,MPT,11-Mar-2014,2013,12,R,HSP,STARIP 170-1250 E-3 spez,228106,RIP,,,,,,,,
