"","","","","","","","","17","","","","","","","","","","","","","","","Link Document","Link Document","Link Document","Link Document","","","Link Document","","","","","Link Document","Link Document","","","","","","","","Link Document","","","","","","","2055079","","","","","","","","","","","","","","",""
"","Kontrak","Kontrak","Kontrak","Kontrak","Kontrak","Kontrak","","","Kontrak","Sesuai Usulan","Kontrak","Diisi Pabrikan","Kontrak","Kontrak","Kontrak","Kontrak","Usulan","Usulan","Kontrak","Kontrak","Diisi Pabrikan","Diisi Pabrikan","Diisi Pabrikan","Diisi Pabrikan","Diisi Pabrikan","Diisi Pabrikan","","","Diisi Pabrikan","Diisi Pabrikan","","","Diisi Pabrikan","Diisi Pabrikan","Diisi Pabrikan","Diisi UPT / Dalkon Adkon","Diisi UPT / Dalkon Adkon","Diisi UPT / Dalkon Adkon","Diisi UPT / Log","Diisi UPT / Log","Diisi UPT / Dalkon Adkon","","Diisi UPT / Dalkon Adkon","Diisi UPT / Dalkon Adkon","Diisi UPT / Dalkon Adkon","Diisi UPT / Dalkon Adkon","Diisi UPT / Dalkon Adkon","Diisi UPT / Dalkon Adkon","","","","Diisi Adkon","Diisi Kantor Induk","","","","","","","","","","","",""
"","PRK","UPT","GI / GITET","","KONTRAK RINCI","PABRIKAN","","","SAT","STATUS
PERUNTUKAN","MTU","TYPE
MTU","RFQ","SF6 
REGULATOR
(For CB)","STRUCTURE","POLE
ARANGEMENT
(For DS)","FASA","JUSTIFIKASI 
AWAL","KONTRAK
SUPERVISI","Rated Voltage Motor
(CB, DS dan DSE)
Contoh: 110 DC or 220 DC or 230/400 AC","NOMOR SERI","PROGRES
SAAT INI","DOKUMEN
FAT","COO","COM","COW","","","SURAT JALAN","NO DELIVERY ORDER
(SMAR)","","","BA PEMERIKSAAN","LINK 
ROUTINE 
TEST","SUPERVISI","KONDISI UPDATE GI / KETERANGAN
(Jika ada)","PENYEDIA JASA PASANG","NOMOR JASA PASANG","TUG 4
No & Tgl","TUG 3
No & Tgl","RENCANA PASANG MTU","","BERITA 
ACARA","RELOKASI","RELOKASI
(UPT)","RELOKASI
(GARDU INDUK)","RELOKASI
(BAY)","RELOKASI
(PHASA)","KET JADWAL","CODE RFQ","","NOMOR PO","KETERANGAN","ID BOQ","","","HARGA AKSESORIS","","","","DO","No WBS I Pengeluaran","Keterangan","Bulan","SPBJ"
"929","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","PHT 150kV SEMANU#2","0069.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT TWINK INDONESIA","2025","1","Unit","P0","LA150","","RFQ 001","","","","","","","","25120902 / PLN0209000050909130250100031","ONSITE","","","","","Februari 2026","Januari 2026","","","Januari 2026","21 Januari 2026","","","Supervisi","","PT PURNAMA INDONESIA","014.PJ/DAN.01.03/F33060000/2025","","","semester 2","30 Jun 2026","","Tidak Relokasi","","","","","","LA150-RFQ 001","2090509","","","PT TWINK INDONESIA;GI 150KV BANTUL;LA150-RFQ 001","52.800.000","1.517.000","","0","54.317.000","60.291.870","","","","Jun 2026",""
"1487","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","TRF#3 150/20kV","0089.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT HITACHI SAKTI ENERGY INDONESIA","2025","1","Unit","P0","CT150","","RFQ 005","","","","","","1 hari","","","ONSITE","","","","","Maret 2026","Desember 2026","","","","","","","","","PT PURNAMA INDONESIA","014.PJ/DAN.01.03/F33060000/2025","012.TUG-4/MTU/LOG-UPTSLT/III/2026","012.TUG-3/MTU/LOG-UPTSLT/III/2026","","25 Jun 2026","","","","","","","","CT150-RFQ 005","2052850","","","PT HITACHI SAKTI ENERGY INDONESIA;GI 150KV BANTUL;CT150-RFQ 005","165.098.000","4.434.000","","0","169.532.000","188.180.520","DO202600011105","","","Jun 2026",""
"1488","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","TRF#3 150/20kV","0089.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT HITACHI SAKTI ENERGY INDONESIA","2025","1","Unit","P0","CT150","","RFQ 005","","","","","","1 hari","","","ONSITE","","","","","Maret 2026","Desember 2026","","","","","","","","","PT PURNAMA INDONESIA","014.PJ/DAN.01.03/F33060000/2025","012.TUG-4/MTU/LOG-UPTSLT/III/2026","012.TUG-3/MTU/LOG-UPTSLT/III/2026","","25 Jun 2026","","","","","","","","CT150-RFQ 005","2052850","","","PT HITACHI SAKTI ENERGY INDONESIA;GI 150KV BANTUL;CT150-RFQ 005","165.098.000","4.434.000","","0","169.532.000","188.180.520","DO202600011105","","","Jun 2026",""
"1489","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","TRF#3 150/20kV","0089.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT HITACHI SAKTI ENERGY INDONESIA","2025","1","Unit","P0","CT150","","RFQ 005","","","","","","1 hari","","","ONSITE","","","","","Maret 2026","Desember 2026","","","","","","","","","PT PURNAMA INDONESIA","014.PJ/DAN.01.03/F33060000/2025","012.TUG-4/MTU/LOG-UPTSLT/III/2026","012.TUG-3/MTU/LOG-UPTSLT/III/2026","","25 Jun 2026","","","","","","","","CT150-RFQ 005","2052850","","","PT HITACHI SAKTI ENERGY INDONESIA;GI 150KV BANTUL;CT150-RFQ 005","165.098.000","4.434.000","","0","169.532.000","188.180.520","DO202600011105","","","Jun 2026",""
"1496","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","PHT 150kV KALASAN#2","0089.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT HITACHI SAKTI ENERGY INDONESIA","2025","1","Unit","P0","CT150","","RFQ 011","","","","","","1 hari","","","ONSITE","","","","","Maret 2026","Desember 2026","","","","","","","","","BELUM ADA JASA PASANG","","012.TUG-4/MTU/LOG-UPTSLT/III/2026","012.TUG-3/MTU/LOG-UPTSLT/III/2026","","","","","","","","","","CT150-RFQ 011","2054646","","","PT HITACHI SAKTI ENERGY INDONESIA;GI 150KV BANTUL;CT150-RFQ 011","154.072.000","4.434.000","","0","158.506.000","175.941.660","DO202600011105","","","",""
"1497","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","PHT 150kV KALASAN#2","0089.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT HITACHI SAKTI ENERGY INDONESIA","2025","1","Unit","P0","CT150","","RFQ 011","","","","","","1 hari","","","ONSITE","","","","","Maret 2026","Desember 2026","","","","","","","","","BELUM ADA JASA PASANG","","012.TUG-4/MTU/LOG-UPTSLT/III/2026","012.TUG-3/MTU/LOG-UPTSLT/III/2026","","","","","","","","","","CT150-RFQ 011","2054646","","","PT HITACHI SAKTI ENERGY INDONESIA;GI 150KV BANTUL;CT150-RFQ 011","154.072.000","4.434.000","","0","158.506.000","175.941.660","DO202600011105","","","",""
"1498","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","PHT 150kV KALASAN#2","0089.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT HITACHI SAKTI ENERGY INDONESIA","2025","1","Unit","P0","CT150","","RFQ 011","","","","","","1 hari","","","ONSITE","","","","","Maret 2026","Desember 2026","","","","","","","","","BELUM ADA JASA PASANG","","012.TUG-4/MTU/LOG-UPTSLT/III/2026","012.TUG-3/MTU/LOG-UPTSLT/III/2026","April 2027","","","","","","","","","CT150-RFQ 011","2054646","","","PT HITACHI SAKTI ENERGY INDONESIA;GI 150KV BANTUL;CT150-RFQ 011","154.072.000","4.434.000","","0","158.506.000","175.941.660","DO202600011105","","","",""
"1615","2025.TJBT.8.002","SALATIGA","GI 150KV BANTUL","PHT 150kV WIROBRAJAN#1","0088.Pj/DAN.01.03/F33000000/2025 tgl 10 Juni'25","PT HITACHI SAKTI ENERGY INDONESIA","2025","1","Set","P0","CB150","","RFQ 007","YES","","","","","","Rated Voltage Motor: 110 DC","40001018","ONSITE","","","","","Februari 2026","April 2026","","","","","","","","","PT PURNAMA INDONESIA","014.PJ/DAN.01.03/F33060000/2025","011.TUG-4/MTU/LOG-UPTSLT/III/2026","011.TUG-3/MTU/LOG-UPTSLT/III/2026","","","","","","","","","","CB150-RFQ 007","2010016","","","PT HITACHI SAKTI ENERGY INDONESIA;GI 150KV BANTUL;CB150-RFQ 007","404.559.000","8.920.000","","","420.844.000","467.136.840","DO202600011341","","","",""
"1923","2025.TJBT.20.001","SALATIGA","GI 150KV BANTUL","BAY TRAFO (EXTENSION) TRF 4","0177.Pj/DAN.01.03/F33000000/2025 tgl 29 Sep'25","PT TWINK INDONESIA","2025","1","Set","EXTENSION TRAFO","CB150","","RFQ 007","YES","YES","","RST","","3 Hari","","K40054914 / PLN0201000001609130260020005","ONSITE","","","","","Juni 2026","April 2026","","","April 2026","13 April 2026","","","","","PT PERMATA JAYA TEKNIK","","","","","","","","","","","","","CB150-RFQ 007","2010016","","","PT TWINK INDONESIA;GI 150KV BANTUL;CB150-RFQ 007","404.559.000","8.920.000","","","420.844.000","467.136.840","","","","",""
