-AGAR GUNAKAN TEMPORARY FILTER SESUAI UNIT/PABRIKAN (Data - Ubah Tampilan - Pilih Sesuai Kebutuhan),,,,,,,,17,,,,,,,,,,,,,,,Link Document,Link Document,Link Document,Link Document,,,Link Document,,,,,Link Document,Link Document,,,,,,,,Link Document,,,,,,,2055079,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kontrak,Kontrak,Kontrak,Kontrak,Kontrak,Kontrak,,Kontrak,Kontrak,Sesuai Usulan,Kontrak,Diisi Pabrikan,Kontrak,Kontrak,Kontrak,Kontrak,Usulan,Usulan,Kontrak,Kontrak,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi Pabrikan,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Log,Diisi UPT / Log,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,Diisi UPT / Dalkon Adkon,,,Diisi Logistik ,Diisi Adkon,Diisi Kantor Induk,,,,,,,,,,,,
No,PRK,UPT,GI / GITET,,KONTRAK RINCI,PABRIKAN,"TAHUN
KR",VOL,SAT,"STATUS
PERUNTUKAN",MTU,"TYPE
MTU",RFQ,"SF6 
REGULATOR
(For CB)",STRUCTURE,"POLE
ARANGEMENT
(For DS)",FASA,"JUSTIFIKASI 
AWAL","KONTRAK
SUPERVISI","Rated Voltage Motor
(CB, DS dan DSE)
Contoh: 110 DC or 220 DC or 230/400 AC",NOMOR SERI,"PROGRES
SAAT INI","DOKUMEN
FAT",COO,COM,COW,"REN
KEDATANGAN",ONSITE,SURAT JALAN,"NO DELIVERY ORDER
(SMAR)",RENCANA PERIKSA MTU,REALISASI PERIKSA MTU,BA PEMERIKSAAN,"LINK 
ROUTINE 
TEST",SUPERVISI,"KONDISI UPDATE GI / KETERANGAN
(Jika ada)",PENYEDIA JASA PASANG,NOMOR JASA PASANG,"TUG 4
No & Tgl","TUG 3
No & Tgl",RENCANA PASANG MTU,REALISASI PASANG MTU,"BERITA 
ACARA",RELOKASI,"RELOKASI
(UPT)","RELOKASI
(GARDU INDUK)","RELOKASI
(BAY)","RELOKASI
(PHASA)",KET JADWAL,CODE RFQ,"NOMOR 
KATALOG",NOMOR PO,KETERANGAN,ID BOQ,HARGA SATUAN,TRANSPORTASI,HARGA AKSESORIS,HARGA SF6 REGULATOR,TOTAL,"TOTAL
include ppn",DO,No WBS I Pengeluaran,Keterangan,Bulan,SPBJ
1,2024.TJBT.8.010,BANDUNG,GI 150KV CIBEUREUM BARU,PHT 150kV CIGERELENG#2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Set,P0,CB150,,RFQ 002,YES,INCLUDE,-,RST,"Mekanik Bermasalah,Usia Sangat Tua, sesuai",3 Hari,Rated Voltage Motor 110 VDC,4853750540008,ONSITE,,,,,September 2025,Agustus 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,030.TUG-4/LOG-UPTBDG/IX/2025,030.TUG-3/LOG-UPTBDG/IX/2025,Februari 2026,6 Feb 2026,,,,,,,,CB150-RFQ 002,2010015,,,PT UNELEC INDONESIA;GI 150KV CIBEUREUM BARU;CB150-RFQ 002,#N/A,#N/A,,7.365.000,#N/A,#N/A,,,,Feb 2026,
2,2024.TJBT.8.010,BANDUNG,GI 150KV WAYANGWINDU,PHT 150kV KAMOJANG#2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Sets,P0,CB150,,RFQ 002,YES,INCLUDE,-,RST,"Tahanan Kontak POOR, Opening Time FAIR, sesuai",3 Hari,Rated Voltage Motor 110 VDC,4853750540009,ONSITE,,,,,September 2025,Agustus 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,030.TUG-4/LOG-UPTBDG/IX/2025,030.TUG-3/LOG-UPTBDG/IX/2025,Desember 2025,17 Des 2025,,RELOKASI,BANDUNG,GI 150KV WAYANGWINDU,PHT 150kV BANDUNG SELATAN#2,RST,,CB150-RFQ 002,2010015,,,PT UNELEC INDONESIA;GI 150KV WAYANGWINDU;CB150-RFQ 002,#N/A,#N/A,,7.365.000,#N/A,#N/A,,,,Des 2025,
3,2024.TJBT.8.010,BANDUNG,GI 150KV UJUNGBERUNG,PHT 150kV DAGOPAKAR#1,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Sets,P0,CB150,,RFQ 002,YES,INCLUDE,-,RST,"Mekanik Bermasalah,Usia Sangat Tua, sesuai",3 Hari,Rated Voltage Motor 110 VDC,4853750540010,ONSITE,,,,,September 2025,Agustus 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,030.TUG-4/LOG-UPTBDG/IX/2025,030.TUG-3/LOG-UPTBDG/IX/2025,Oktober 2025,15 Okt 2025,https://drive.google.com/file/d/1s6M6qpWDUcmcysG0f47A5syvuCwIygbe/view?usp=drive_link,TIDAK RELOKASI,,,,,,CB150-RFQ 002,2010015,,,PT UNELEC INDONESIA;GI 150KV UJUNGBERUNG;CB150-RFQ 002,#N/A,#N/A,,7.365.000,#N/A,#N/A,,,,Okt 2025,
4,2024.TJBT.8.010,BANDUNG,GI 150KV CIANJUR,PHT 150kV BOGOR BARU#2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Sets,P0,CB150,,RFQ 002,YES,INCLUDE,-,RST,"Mekanik Bermasalah,Usia Sangat Tua, sesuai",3 Hari,Rated Voltage Motor 110 VDC,4853750540011,ONSITE,,,,,September 2025,Agustus 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,030.TUG-4/LOG-UPTBDG/IX/2025,030.TUG-3/LOG-UPTBDG/IX/2025,Oktober 2025,24 Okt 2025,https://drive.google.com/file/d/128nF5yLe1WUwL73In2WRrU_t48LuEMJq/view?usp=drive_link,TIDAK RELOKASI,,,,,,CB150-RFQ 002,2010015,,,PT UNELEC INDONESIA;GI 150KV CIANJUR;CB150-RFQ 002,#N/A,#N/A,,7.365.000,#N/A,#N/A,,,,Okt 2025,
5,2024.TJBT.8.010,BANDUNG,GI 70KV CIGERELENG,PHT 70kV CIKALONG#2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Sets,P0,CB70,,RFQ 001,YES,INCLUDE,-,RST,"Mekanik Bermasalah,Usia Sangat Tua",3 Hari,Rated Voltage Motor 110 VDC,4853750600002,ONSITE,,,,,September 2025,Agustus 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,November 2025,13 Nov 2025,,TIDAK RELOKASI,,,,,,CB70-RFQ 001,2010620,,,PT UNELEC INDONESIA;GI 70KV CIGERELENG;CB70-RFQ 001,#N/A,#N/A,,7.365.000,#N/A,#N/A,,,,Nov 2025,
6,2024.TJBT.8.010,BANDUNG,GI 150KV CIANJUR,KOPEL BUS 150kV,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,P0,CT150,,RFQ 026,-,N/A,-,R,Tahanan Isolasi CRITICAL,3 Hari,,37994051142,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,November 2025,11 Mar 2026,,TIDAK RELOKASI,,,,,ABK,CT150-RFQ 026,2054570,,,PT UNELEC INDONESIA;GI 150KV CIANJUR;CT150-RFQ 026,#N/A,#N/A,,,#N/A,#N/A,,,,Mar 2026,
7,2024.TJBT.8.010,BANDUNG,GI 70KV CIGERELENG,KOPEL BUS 70kV,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,P0,CVT70,,RFQ 004,-,N/A,-,S,Tahanan Isolasi CRITICAL,1 Hari,,37992042967,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,November 2025,14 Nov 2025,,TIDAK RELOKASI,,,,,,CVT70-RFQ 004,2070923,,,PT UNELEC INDONESIA;GI 70KV CIGERELENG;CVT70-RFQ 004,#N/A,#N/A,,,#N/A,#N/A,,,,Nov 2025,
8,2024.TJBT.8.010,BANDUNG,GI 150KV CIANJUR,KOPEL BUS 150kV,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,P0,CT150,,RFQ 026,-,N/A,-,S,Tahanan Isolasi CRITICAL,3 Hari,,37994051143,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,November 2025,11 Mar 2026,,TIDAK RELOKASI,,,,,ABK,CT150-RFQ 026,2054570,,,PT UNELEC INDONESIA;GI 150KV CIANJUR;CT150-RFQ 026,#N/A,#N/A,,,#N/A,#N/A,,,,Mar 2026,
9,2024.TJBT.8.010,BANDUNG,GI 150KV CIANJUR,KOPEL BUS 150kV,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,P0,CT150,,RFQ 026,-,N/A,-,T,Tahanan Isolasi CRITICAL,3 Hari,,37994051144,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT ARCA ENERGY,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,November 2025,11 Mar 2026,,TIDAK RELOKASI,,,,,ABK,CT150-RFQ 026,2054570,,,PT UNELEC INDONESIA;GI 150KV CIANJUR;CT150-RFQ 026,#N/A,#N/A,,,#N/A,#N/A,,,,Mar 2026,
